county,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ID,950980.6667,968271.6667,985562.6667,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1293953,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571450,1607833.14,1631649.172,1655465.205,1679281.237,1703097.269,1726913.302,1750729.334
Ada,188052.3333,193563.8333,199075.3333,207722,216798,225266,236477,247225,256860,266290,274325,284946,294292,300904,313896,321616,327393,334926,348755,363498,375368,382618,388577,393531,408564.22,416719.3015,424874.3831,433029.4646,441184.5462,449339.6277,457494.7092
Adams,3168.333333,3194.333333,3220.333333,3257,3306,3457,3583,3692,3676,3693,3572,3531,3517,3476,3495,3559,3624,3693,3817,3788,3949,4021,4000,3953,3964.04,3989.430769,4014.821538,4040.212308,4065.603077,4090.993846,4116.384615
Bannock,63916.66667,64572.66667,65228.66667,66258,67338,69173,70770,72468,73603,74026,74635,74864,75527,75565,76296,76487,76312,76834,77419,78491,79338,80609,81994,83071,83222.66,83835.99385,84449.32769,85062.66154,85675.99538,86289.32923,86902.66308
Bear Lake,6066.666667,6071.666667,6076.666667,6082,6094,6239,6302,6310,6459,6375,6384,6345,6390,6411,6394,6219,6219,6170,6077,6071,6049,6027,6014,5971,6089.05,6078.933846,6068.817692,6058.701538,6048.585385,6038.469231,6028.353077
Benewah,7812.666667,7850.666667,7888.666667,7944,8013,8084,8277,8566,8795,8943,8991,9116,9092,9171,8968,8917,8901,8907,9053,9260,9296,9385,9286,9285,9558.62,9611.353846,9664.087692,9716.821538,9769.555385,9822.289231,9875.023077
Bingham,36294.66667,36683.16667,37071.66667,37603,38360,39505,40184,40621,40648,40852,41072,41413,41550,41735,42073,42101,42555,42702,43173,43396,43816,44414,45087,45769,45609.04,45901.09231,46193.14462,46485.19692,46777.24923,47069.30154,47361.35385
Blaine,12121.66667,12574.66667,13027.66667,13791,14458,15081,15669,16501,17108,17707,18081,18265,18521,18991,19755,20189,20557,20811,20897,21082,21169,21477,21590,21326,23024.48,23361.55385,23698.62769,24035.70154,24372.77538,24709.84923,25046.92308
Boise,3035.333333,3183.333333,3331.333333,3568,3805,4147,4553,4847,5184,5543,5816,6005,6344,6670,6733,6854,6977,7004,6981,7151,7229,7148,7051,7032,8055.29,8211.773846,8368.257692,8524.741538,8681.225385,8837.709231,8994.193077
Bonner,24442,25110.5,25779,26767,27959,28972,30341,31976,33206,34179,34986,35634,36262,36835,36980,37634,38382,38836,39576,40127,40738,40966,40809,40915,43593.97,44198.62,44803.27,45407.92,46012.57,46617.22,47221.87
Bonneville,67630.66667,69043.66667,70456.66667,72608,75033,77149,78310,79197,79527,79459,80123,80798,81576,82522,83907,85060,86846,89514,91709,94756,97890,100811,103016,104592,102484.28,103763.5108,105042.7415,106321.9723,107601.2031,108880.4338,110159.6646
Boundary,8286.333333,8301.333333,8316.333333,8345,8362,8590,8917,9147,9468,9596,9633,9589,9721,9871,9816,9834,9960,10163,10303,10530,10754,10831,10819,11026,11179.49,11287.53692,11395.58385,11503.63077,11611.67769,11719.72462,11827.77154
Butte,3021,2989.5,2958,2912,2855,2928,2974,3038,3017,3023,3002,2935,2892,2899,2853,2906,2842,2812,2825,2786,2838,2846,2835,2907,2829.3,2823.784615,2818.269231,2812.753846,2807.238462,2801.723077,2796.207692
Camas,664.3333333,684.3333333,704.3333333,739,767,777,785,828,893,953,923,947,1008,991,1000,1025,1029,1022,1069,1073,1103,1120,1133,1109,1181.16,1197.904615,1214.649231,1231.393846,1248.138462,1264.883077,1281.627692
Canyon,83764.33333,85717.83333,87671.33333,90676,93983,97006,101090,105491,109976,113744,118124,122382,126720,131441,139179,145160,151395,157130,163947,172188,179645,184996,187357,189428,195610.07,200119.7954,204629.5208,209139.2462,213648.9715,218158.6969,222668.4223
Caribou,6764.666667,6823.666667,6882.666667,6958,7081,7120,7244,7225,7290,7371,7286,7411,7287,7304,7326,7161,7105,7106,6963,6886,6873,6840,6922,6977,6990.22,6979.501538,6968.783077,6958.064615,6947.346154,6936.627692,6925.909231
Cassia,19196.66667,19304.16667,19411.66667,19601,19747,20150,20408,20712,20996,21190,21283,21162,21425,21416,21557,21504,21466,21323,21372,21281,21568,22134,22476,23088,22674.02,22783.91385,22893.80769,23003.70154,23113.59538,23223.48923,23333.38308
Clark,733,741.5,750,760,779,835,837,871,866,858,891,948,988,1022,965,948,892,923,925,947,948,981,961,988,1020.39,1028.349231,1036.308462,1044.267692,1052.226923,1060.186154,1068.145385
Clearwater,8483.333333,8487.833333,8492.333333,8485,8514,8594,8640,8896,8982,9173,9099,9049,9033,8930,8689,8579,8596,8610,8659,8776,8788,8764,8761,8740,8792.61,8793.638462,8794.666923,8795.695385,8796.723846,8797.752308,8798.780769
Custer,3978.333333,4027.833333,4077.333333,4164,4232,4104,3922,4067,4409,4552,4466,4321,4336,4342,4223,4143,4116,4129,4084,4155,4200,4300,4363,4366,4294.07,4297.703077,4301.336154,4304.969231,4308.602308,4312.235385,4315.868462
Elmore,21510.33333,21428.33333,21346.33333,21301,21041,21152,23209,23903,25052,25647,27168,28269,28889,29130,27613,27047,25972,26355,25919,25927,26595,26930,26769,27123,28698.01,28914.84154,29131.67308,29348.50462,29565.33615,29782.16769,29998.99923
Franklin,8897.666667,9000.666667,9103.666667,9259,9438,9505,9785,10068,10192,10481,10772,11050,11233,11329,11463,11687,11718,11959,12079,12085,12277,12570,12757,12794,13180.67,13335.48462,13490.29923,13645.11385,13799.92846,13954.74308,14109.55769
Fremont,10534.33333,10655.33333,10776.33333,10939,11179,11249,11603,11548,11557,11502,11724,11883,11840,11819,11891,12029,12370,12640,12610,12770,13005,13112,13173,13251,13304.8,13400.69231,13496.58462,13592.47692,13688.36923,13784.26154,13880.15385
Gem,11168.33333,11380.33333,11592.33333,11937,12268,12602,13114,13474,13794,14052,14422,14803,15052,15181,15393,15488,15693,15925,16304,16632,16833,16941,16809,16675,17685.69,17900.43846,18115.18692,18329.93538,18544.68385,18759.43231,18974.18077
Gooding,11174.33333,11315.33333,11456.33333,11667,11915,12159,12487,12724,12987,13392,13741,13854,13970,14155,14215,14342,14483,14562,14614,14749,14963,15216,15270,15503,15894.72,16051.51077,16208.30154,16365.09231,16521.88308,16678.67385,16835.46462
Idaho,13483.66667,13575.16667,13666.66667,13830,13951,14267,14488,14801,15103,15187,15414,15418,15515,15511,15447,15495,15410,15555,15522,15638,15770,15896,16138,16291,16407.53,16495.31538,16583.10077,16670.88615,16758.67154,16846.45692,16934.24231
Jefferson,15990,16160.5,16331,16589,16884,17320,17677,18097,18245,18327,18380,18692,18982,19155,19322,19802,20249,20842,21674,22439,23475,24696,25770,26236,25134.56,25517.69231,25900.82462,26283.95692,26667.08923,27050.22154,27433.35385
Jerome,14542.33333,14728.83333,14915.33333,15216,15511,15749,16213,16522,16911,17294,17495,17933,18079,18342,18579,18730,18971,19331,19654,20111,20572,21217,22039,22469,22226.62,22516.84,22807.06,23097.28,23387.5,23677.72,23967.94
Kootenai,63092.66667,65168.16667,67243.66667,70443,73946,77577,82654,88046,92677,96590,100108,102717,106346,108685,111542,113667,116512,121002,125972,129510,132811,135627,137407,138901,146146.79,149114.3954,152082.0008,155049.6062,158017.2115,160984.8169,163952.4223
Latah,29439.33333,29802.33333,30165.33333,30714,31343,32251,32977,33729,34339,34808,35023,34811,34908,34935,35285,35183,35473,35864,35958,36251,36179,36524,36939,37334,37826.96,38064.44308,38301.92615,38539.40923,38776.89231,39014.37538,39251.85846
Lemhi,6646.333333,6724.833333,6803.333333,6926,7056,7104,7203,7462,8029,8084,8095,8070,7944,7806,7593,7590,7600,7660,7708,7795,7780,7902,7870,7957,8041.89,8070.986154,8100.082308,8129.178462,8158.274615,8187.370769,8216.466923
Lewis,3464,3479.5,3495,3515,3547,3558,3678,3765,3846,3854,3856,3811,3754,3747,3599,3673,3671,3669,3665,3712,3707,3739,3832,3816,3791.64,3797.658462,3803.676923,3809.695385,3815.713846,3821.732308,3827.750769
Lincoln,3180,3222.5,3265,3349,3393,3467,3557,3634,3794,3860,3917,3910,3991,4044,4159,4242,4372,4441,4694,4762,4938,5041,5151,5211,5236.15,5317.256923,5398.363846,5479.470769,5560.577692,5641.684615,5722.791538
Madison,23045.33333,23248.83333,23452.33333,23823,24081,24942,25336,25555,26102,26271,26920,27349,27293,27467,27699,28478,29997,31990,33807,34984,35771,36564,37121,37623,37356.68,37967.52308,38578.36615,39189.20923,39800.05231,40410.89538,41021.73846
Minidoka,18816.66667,18982.16667,19147.66667,19383,19692,20064,20286,20534,20759,20559,20495,20244,20350,20174,19603,19542,19389,19167,19013,19046,19184,19393,19884,20112,19539.2,19514.33538,19489.47077,19464.60615,19439.74154,19414.87692,19390.01231
Nez Perce,32481,32873.5,33266,33860,34539,35230,35890,36533,36824,37052,37375,37395,37482,37410,36999,37111,37696,37798,38071,38513,38720,38810,39049,39339,39690.85,39883.89692,40076.94385,40269.99077,40463.03769,40656.08462,40849.13154
Oneida,3524,3516.5,3509,3513,3477,3501,3531,3642,3847,3901,4023,4064,4115,4125,4176,4125,4089,4086,4137,4146,4167,4201,4248,4298,4418.45,4452.330769,4486.211538,4520.092308,4553.973077,4587.853846,4621.734615
Owyhee,8179,8245,8311,8413,8524,8625,8889,9123,9568,9842,10110,10285,10429,10644,10877,10876,11033,10990,10993,11114,11255,11515,11547,11512,12111.49,12251.09385,12390.69769,12530.30154,12669.90538,12809.50923,12949.11308
Payette,15640.33333,15878.33333,16116.33333,16433,16910,17452,17974,18744,19237,19531,19792,20029,20374,20578,20796,20966,21133,21139,21484,21916,22437,22618,22665,22621,23552.49,23810.08462,24067.67923,24325.27385,24582.86846,24840.46308,25098.05769
Power,6920.333333,6966.833333,7013.333333,7054,7179,7371,7498,7685,7720,7695,7680,7778,7623,7538,7422,7371,7293,7432,7426,7564,7532,7564,7628,7879,7687.01,7700.284615,7713.559231,7726.833846,7740.108462,7753.383077,7766.657692
Shoshone,13693.33333,13768.83333,13844.33333,13973,14082,13637,13869,13961,14125,14058,14051,13974,13813,13771,13464,13044,12897,12781,12912,13014,12949,13031,12862,12729,12677.41,12615.00154,12552.59308,12490.18462,12427.77615,12365.36769,12302.95923
Teton,3172,3254,3336,3458,3603,3902,4082,4399,4820,5116,5286,5496,5705,5999,6455,6849,7193,7460,7814,8270,8932,9627,10041,10193,10213.04,10505.08,10797.12,11089.16,11381.2,11673.24,11965.28
Twin Falls,51170.66667,51917.16667,52663.66667,53817,55073,56195,57189,58846,59679,60998,62201,63020,63844,64284,64556,65473,67092,68309,69833,71974,73738,75143,76271,77517,77755.21,78737.89385,79720.57769,80703.26154,81685.94538,82668.62923,83651.31308
Valley,5445,5647.5,5850,6142,6514,6842,7265,7512,7697,7804,7893,7796,7652,7651,7773,7762,8003,8283,8779,9480,9929,10060,9975,9787,10006.55,10155.15846,10303.76692,10452.37538,10600.98385,10749.59231,10898.20077
Washington,8336.666667,8404.666667,8472.666667,8590,8686,8787,9031,9155,9455,9651,9887,10018,10010,9977,9936,9904,9904,9947,9995,10025,10027,10095,10173,10205,10511.75,10575.24154,10638.73308,10702.22462,10765.71615,10829.20769,10892.69923
